tissue,dist_mid,n,p_positive_raw,p_positive,ci_lo,ci_hi
blood,7,836,0.1878,0.1798,0.1628,0.2157
blood,56,219,0.1781,0.1798,0.1331,0.2342
blood,72,272,0.1875,0.1798,0.1456,0.2381
blood,94,330,0.1848,0.1798,0.1467,0.2303
blood,121,412,0.165,0.1798,0.1323,0.204
blood,156,534,0.1723,0.1798,0.1426,0.2066
blood,201,590,0.2034,0.1879,0.1729,0.2377
blood,260,650,0.1738,0.1879,0.1467,0.2049
blood,335,684,0.1959,0.1959,0.1679,0.2273
blood,432,787,0.2274,0.2274,0.1995,0.258
blood,557,954,0.261,0.261,0.2341,0.2898
blood,719,889,0.2745,0.2745,0.2461,0.3047
blood,927,935,0.2824,0.2802,0.2544,0.3121
blood,1195,892,0.278,0.2802,0.2496,0.3083
blood,1541,766,0.3159,0.3159,0.284,0.3497
blood,1986,720,0.3861,0.3861,0.3512,0.4222
blood,2560,768,0.431,0.4061,0.3964,0.4663
blood,3300,863,0.4056,0.4061,0.3733,0.4387
blood,4255,953,0.3945,0.4061,0.364,0.4259
blood,5485,1033,0.3988,0.4061,0.3694,0.429
blood,7070,1276,0.4404,0.4365,0.4134,0.4678
blood,9114,1426,0.4663,0.4365,0.4406,0.4923
blood,11750,1612,0.4175,0.4365,0.3936,0.4417
blood,15147,1801,0.427,0.4365,0.4043,0.45
blood,19526,2192,0.4603,0.449,0.4395,0.4812
blood,25171,2522,0.4651,0.449,0.4457,0.4846
blood,32447,2833,0.4843,0.449,0.4659,0.5027
blood,41827,3162,0.4614,0.449,0.4441,0.4788
blood,53919,3129,0.4468,0.449,0.4294,0.4643
blood,69506,3372,0.481,0.449,0.4642,0.4979
blood,89600,3315,0.4492,0.449,0.4323,0.4662
blood,115503,2978,0.4486,0.449,0.4308,0.4665
blood,148894,2993,0.44,0.449,0.4223,0.4579
blood,191938,2941,0.3958,0.449,0.3783,0.4136
blood,247425,2605,0.4322,0.449,0.4133,0.4514
blood,318953,2376,0.4386,0.449,0.4187,0.4586
blood,411159,2069,0.4606,0.449,0.4392,0.4821
blood,530020,879,0.4278,0.449,0.3954,0.4607
blood,683243,496,0.3952,0.449,0.3531,0.4388
blood,880762,445,0.3753,0.449,0.3315,0.4212
