input,cpg_id,target_gene,tss_dist,status,direction,probability_plus1,confidence,evidence_tier
cg00601836_TC11_ESR1,cg00601836,RIF1,-136064.0,REQUESTED_GENE_UNAVAILABLE,,0.5226,0.0451,A
cg00975240_TC21_ESR1,cg00975240,RIF1,104168.0,REQUESTED_GENE_UNAVAILABLE,,0.4014,0.1971,B
cg01242976_BC21_GRIK2,cg01242976,TGFBR1,-27562.0,REQUESTED_GENE_UNAVAILABLE,,0.3555,0.289,B
cg02063520_TC21_GRIK2,cg02063520,,,NO_EXPRESSION_ANCHOR,,,,
cg03229061_BC21_HLA_DPA1_HLA_DPB1,cg03229061,HLA-DPB1,4781.0,REQUESTED_GENE_UNAVAILABLE,,0.9818,0.9636,A
cg03490157_BC21_GRM7,cg03490157,,,NO_EXPRESSION_ANCHOR,,,,
cg04254724_BC21_SHANK2,cg04254724,NAIP,28810.0,REQUESTED_GENE_UNAVAILABLE,,0.4701,0.0597,B
cg04729792_BC21_GRK2,cg04729792,CARNS1,-133987.0,REQUESTED_GENE_UNAVAILABLE,,0.3286,0.3429,A
cg04731988_TC21_OXT,cg04731988,AVP,-13416.0,REQUESTED_GENE_UNAVAILABLE,,0.2701,0.4598,A
cg06469229_BC21_PDE4D,cg06469229,,,NO_EXPRESSION_ANCHOR,,,,
cg06489744_BC21_SHANK2,cg06489744,COL19A1,-18675.0,REQUESTED_GENE_UNAVAILABLE,,0.351,0.298,B
cg06745813_BC21_CACNA1C,cg06745813,SH3BP2,-131994.0,REQUESTED_GENE_UNAVAILABLE,,0.529,0.058,B
cg07092525_TC21_ENSG00000253356_STAR,cg07092525,LSM1,-25862.0,REQUESTED_GENE_UNAVAILABLE,,0.3555,0.289,B
cg07817266_BC21_LINC02210_CRHR1,cg07817266,CRHR1-IT1,68196.0,REQUESTED_GENE_UNAVAILABLE,,0.4817,0.0365,A
cg08119837_TC21_LINC02210_CRHR1,cg08119837,CRHR1-IT1,139806.0,REQUESTED_GENE_UNAVAILABLE,,0.4923,0.0153,A
cg08730340_TC21_GRIA1,cg08730340,,,NO_EXPRESSION_ANCHOR,,,,
cg09126885_TC21_ADCY3,cg09126885,SRRM1,134929.0,REQUESTED_GENE_UNAVAILABLE,,0.437,0.126,A
cg09362366_BC21_IL12A_IL12A_AS1,cg09362366,,,NO_EXPRESSION_ANCHOR,,,,
cg10073842_TC21_MAGEL2,cg10073842,NR1D2,-92552.0,REQUESTED_GENE_UNAVAILABLE,,0.351,0.298,A
cg10556198_TC21_LINC02210_CRHR1,cg10556198,CRHR1-IT1,128613.0,REQUESTED_GENE_UNAVAILABLE,,0.698,0.3959,A
cg11787005_BC21_HTR7,cg11787005,,,NO_EXPRESSION_ANCHOR,,,,
cg11992736_TC21_IL12RB1,cg11992736,IL12RB1,-269.0,DIRECT_eQTM,-1.0,0.1569,0.6863,A
cg12703412_BC21_NCOA2,cg12703412,TTC9,115246.0,REQUESTED_GENE_UNAVAILABLE,,0.3286,0.3429,B
cg12793116_BC21_ADCY5,cg12793116,,,NO_EXPRESSION_ANCHOR,,,,
cg13007871_TC21_HLA_E,cg13007871,HLA-E,1337.0,DIRECT_eQTM,-1.0,0.1472,0.7056,A
cg14033650_TC21_GRIN3A,cg14033650,ALDOB,220375.0,REQUESTED_GENE_UNAVAILABLE,,0.4817,0.0365,B
cg15468056_BC21_AR,cg15468056,,,NO_EXPRESSION_ANCHOR,,,,
cg15653548_TC21_GRK5,cg15653548,GRK5,61269.0,ABSTAIN,,0.351,0.298,A
cg17617829_BC21_NR4A1,cg17617829,ANKRD33,158211.0,REQUESTED_GENE_UNAVAILABLE,,0.3811,0.2377,B
cg17768600_BC21_SLC22A3,cg17768600,,,NO_EXPRESSION_ANCHOR,,,,
cg18282544_TC21_SERPINA6,cg18282544,MCTP2,-67363.0,REQUESTED_GENE_UNAVAILABLE,,0.3555,0.289,B
cg18430991_TC21_SHANK1,cg18430991,CLEC11A,-17594.0,REQUESTED_GENE_UNAVAILABLE,,0.4051,0.1897,A
cg19589727_TC21_GNAS,cg19589727,CTSZ,-154547.0,REQUESTED_GENE_UNAVAILABLE,,0.2676,0.4648,A
cg20532513_TC21_AR,cg20532513,,,NO_EXPRESSION_ANCHOR,,,,
cg20978814_BC21_RYR2,cg20978814,,,NO_EXPRESSION_ANCHOR,,,,
cg22607996_BC21_LINC02210_CRHR1,cg22607996,CRHR1-IT1,142966.0,REQUESTED_GENE_UNAVAILABLE,,0.4923,0.0153,A
cg22743002_TC21_GRM4,cg22743002,,,NO_EXPRESSION_ANCHOR,,,,
cg22759407_BC21_PDE4D,cg22759407,PDE4D,-226249.0,ABSTAIN,,0.3811,0.2377,B
cg22875823_BC11_SYNGAP1,cg22875823,FAAP24,-62579.0,REQUESTED_GENE_UNAVAILABLE,,0.8928,0.7856,A
cg27340154_TC21_NCOA2,cg27340154,TTC9,-37648.0,REQUESTED_GENE_UNAVAILABLE,,0.3286,0.3429,B
