cpg_id,chr,mapinfo,genes,directions,n_t1_pairs,saliva_ok,blood_ok,buccal_ok,n_tissues_ok,rho_saliva_epic,rho_saliva_450k,rho_blood_epic,rho_blood_450k,rho_buccal_epic,rho_blood_saliva_450k,gene_annot,island_density,open_sea,design_type,saliva_amaze_raw,saliva_amaze_adj,blood_amaze_raw,blood_amaze_adj,buccal_amaze_raw,buccal_amaze_adj,grade,confirmed_tissues,hannon_cortical_raw,hannon_cortical_adj,hannon_cerebellum_raw,blood_hannon_ok,grade_v3,sommerer_buccal_R,buccal_sommerer_ok,n_independent_cohorts,grade_v4,strict_qc
cg00044050,16,11439710,RMI2,1,1,TRUE,TRUE,TRUE,3,0.696103896103896,0.636363636363636,0.809090909090909,0.781818181818182,0.863636363636364,0.854545454545454,C16orf75,4,FALSE,I,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,A,saliva;blood;buccal,0.6672,0.6682,0.6179,TRUE,A+,0.8325,TRUE,4,A++,TRUE
cg00049323,5,472564,EXOC3,1,1,TRUE,TRUE,TRUE,3,0.555844155844156,0.696969696969697,0.754545454545455,0.575757575757576,0.533766233766234,0.6,LOC25845,6,FALSE,II,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,A,saliva;blood,0.7345,0.6808,0.3268,TRUE,A+,0.3636,FALSE,3,A++,TRUE
cg00121533,1,75199117,AC135803.1;CRYZ;TYW3,-1;-1;-1,3,TRUE,TRUE,TRUE,3,0.872727272727273,0.76969696969697,0.653246753246753,0.696969696969697,0.724675324675325,0.757575757575757,CRYZ;CRYZ;TYW3;CRYZ;TYW3;CRYZ;TYW3,11,FALSE,II,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.5825,0.5585,0.5657,TRUE,B,0.42,FALSE,2,B,TRUE
cg00230586,19,16013833,AC005336.3,1,1,TRUE,TRUE,TRUE,3,0.518181818181818,0.915151515151515,0.514285714285714,0.515151515151515,0.750649350649351,0.648484848484848,,,FALSE,II,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.2682,0.2749,0.2347,FALSE,B,,FALSE,1,B,FALSE
cg00277334,10,82204260,ANXA11,-1,1,TRUE,TRUE,TRUE,3,0.819480519480519,0.648484848484848,0.796103896103896,0.721212121212121,0.884415584415584,0.6,,1,FALSE,II,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.7816,0.8095,0.6876,TRUE,B,0.6735,TRUE,3,B,TRUE
cg00290607,11,67383545,GSTP1,1,1,TRUE,TRUE,TRUE,3,0.806493506493506,0.903030303030303,0.857142857142857,0.939393939393939,0.816883116883117,0.987878787878788,,7,FALSE,I,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.733,0.6904,0.7221,TRUE,B,0.7315,TRUE,3,B,TRUE
cg00419117,1,228361641,MRPL55,1,1,TRUE,TRUE,TRUE,3,0.541558441558442,0.684848484848485,0.594805194805195,0.563636363636364,0.749350649350649,0.781818181818182,C1orf69,1,FALSE,II,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,A,saliva;blood;buccal,0.404,0.3517,0.2069,FALSE,A+,0.5716,TRUE,3,A++,TRUE
cg00435616,7,1080473,C7ORF50,-1,1,TRUE,TRUE,TRUE,3,0.501298701298701,0.745454545454545,0.641558441558442,0.745454545454545,0.597402597402597,0.672727272727273,C7orf50;C7orf50;C7orf50,,FALSE,II,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.5113,0.5461,0.3332,TRUE,B,0.2369,FALSE,2,B,TRUE
cg00785941,1,248100591,OR2L13;OR2L2;OR2M4,-1;-1;-1,3,TRUE,TRUE,TRUE,3,0.879220779220779,0.745454545454545,0.94025974025974,0.660606060606061,0.897402597402597,0.890909090909091,OR2L13;OR2L13,9,FALSE,II,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,A,saliva;blood,0.9027,0.8974,0.8736,TRUE,A+,0.7201,TRUE,4,A++,TRUE
cg00809820,17,80708513,FN3KRP,-1,1,TRUE,TRUE,TRUE,3,0.848051948051948,0.624242424242424,0.893506493506493,0.733333333333333,0.890909090909091,0.927272727272727,TBCD;FN3K,4,FALSE,II,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,A,saliva;blood;buccal,0.732,0.7287,0.7885,TRUE,A+,0.6694,TRUE,4,A++,TRUE
